Building Name,Emissions,BERDO,Type
Egan Engineering/Science Research Center,27.9,11.1,STEM
Stetson East,19.94,4.66650674,RES
Hurtig Hall,16.62,11.1,STEM
Marino Recreation Center,15.81,5.2931699,GYM
Mugar Life Sciences Building,15.25,11.1,STEM
Behrakis Health Sciences Center,15.06,11.1,STEM
106-122 St. Stephen Street  (Levine Hall),14.72,3.7,RES
Richards Hall,12.18,5.3,ACA
Stetson West,11.84,4.900198,RES
140 The Fenway,11.84,11.1,RES
Melvin Hall,11.07,3.7,RES
Dana Research Center,10.1,11.1,STEM
Curry Student Center,9.99,5.3,CSC
West Village E,9.72,3.7,RES
West Village G,9.62,3.7,RES
West Village B,9.34,3.7,RES
West Village C,9.34,3.7,RES
Snell Engineering Center,9.28,11.1,STEM
West Village A,8.72,3.7,RES
West Village H,8.65,4.13217916,RES
Renaissance Park,8.62,5.3,ACA
Interdisciplinary Science & Engineering Complex,8.42,11.1,STEM
Forsyth Building,8.12,5.3,ACA
Robinson Hall,7.96,5.3,STEM
Shillman Hall,7.8,5.3,ACA
Speare Hall,7.72,3.7,RES
Cargill Hall,7.6,5.3,ACA
Ell Hall,7.59,5.3,ACA
Ryder Hall,7.58,5.3,ACA
Matthews Arena,7.46,4.6,MAT
Kariotis Hall,7.43,5.3,ACA
Knowles Center,7.43,5.3,ACA
West Village F (+O'Bryant Center),7.36,3.7,"RES, ACA"
Snell Library,6.84,5.3,LIB
Dodge Hall,6.72,5.3,ACA
Cullinane Hall,6.59,3.2,ACA
Badger & Rosen Squashbusters Center,6.21,4.6,GYM
Columbus Place,5.83,3.2,ADM
Stearns Center,5.41,5.3,ACA
Holmes Hall,5.4,3.2,ACA
Lake Hall,5.4,3.2,ACA
Meserve Hall,5.4,3.2,ACA
Nightingale Hall,5.4,3.2,ACA
Willis Hall,5.33,3.7,RES
300 Massachusetts Avenue,5.28,5.3,MISC
780 Columbus Avenue,5.28,3.7,RES
Churchill Hall,5.07,5.3,ACA
White Hall,4.61,3.7,RES
407 Huntington Ave.,4.42,3.7,RES
Cabot Center (& Barletta Natatorium),4.36,4.6,GYM
Loftman Hall 153 Hemenway Street,3.98,3.7,RES
Dockser Hall,3.77,5.3,ACA
East Village,3.69,3.2,RES
Davenport Commons A,3.62,3.7,RES
Hayden Hall,3.6,5.3,ACA
Cahners Hall,3.4,3.2,ACA
Cushing Hall,3.4,3.2,ACA
International Village,3.4,4.07239399,RES
Davenport Commons B,3.3,3.7,RES
Kerr Hall,2.97,3.7,RES
Warehouse,2.87,2.8,
Asian American Center 109 Hemen,2.6,3.7,ADM
Kennedy Hall 115 Hemenway,2.6,3.7,RES
Smith Hall 125 Hemenway,2.6,3.7,RES
Burstein Hall,2.2,3.7,RES
Rubenstein Hall,2.2,3.7,RES
Coventry,2.18,3.7,RES